collectionOrder,teseraId,teseraAlias,teseraTitle,teseraAlternateTitles,teseraYear,teseraIsAddition,bggId,bggName,bggType,matchMethod,ownedParentBggIds,disposition,notes
175,854500,flamme-rouge,Крути педали,Flamme Rouge,2016,false,199478,Flamme Rouge,base,tesera-detail-bgg-id,,matched,
176,1496123,barrage-leeghwater-project,Плотина: Проект «Легватер»,Barrage: The Leeghwater Project,2019,true,263711,Barrage: The Leeghwater Project,expansion,tesera-detail-bgg-id,251247,matched,
177,1689487,barrage-5-player-expansion,Плотина: Пятый игрок,Barrage: 5-Player Expansion,2020,true,304453,Barrage: 5th Player Expansion,expansion,tesera-detail-bgg-id,251247,matched,
178,1867280,dice-forge-rebellion,Грани судьбы: Восстание,Dice Forge: Rebellion,2019,true,258003,Dice Forge: Rebellion,expansion,tesera-detail-bgg-id,194594,matched,
179,1063856,fallout-boardgame,Fallout. Настольная игра,Fallout: The Board Game,2017,false,232918,Fallout,base,tesera-detail-bgg-id,,matched,
180,8509,small-world-necromancer-island,Small World: Necromancer Island,"Small World : L'Île du Nécromant, Small World: Die Insel des Geisterbeschwörers",2010,true,84183,Small World: Necromancer Island,expansion,tesera-detail-bgg-id,40692;97786,matched,
181,1198338,small-world-power-pack-1,Маленький мир: Коллекция дополнений №1,Small World: Power Pack 1,2017,true,241991,Small World: Power Pack 1,expansion,tesera-detail-bgg-id,40692;97786,matched,
182,1198348,small-world-power-pack-2,Маленький мир: Коллекция дополнений №2,Small World: Power Pack 2,2017,true,241989,Small World: Power Pack 2,expansion,tesera-detail-bgg-id,40692;97786,matched,
183,1655825,hansa-teutonica-big-box,Ганзейский союз: Полное издание,Hansa Teutonica: Big Box,2021,false,286749,Hansa Teutonica: Big Box,base,tesera-detail-bgg-id,,matched,
184,445087,alchemists,Алхимики,Alchemists,2014,false,161970,Alchemists,base,tesera-detail-bgg-id,,matched,
185,1906441,kingdomino-origins,Лоскутное королевство: Истоки,Kingdomino Origins,2021,false,340041,Kingdomino Origins,base,tesera-detail-bgg-id,,matched,
186,824784,kingdomino,Лоскутное королевство,Kingdomino,2016,false,204583,Kingdomino,base,tesera-detail-bgg-id,,matched,
187,1469912,Kingdomino-Duel,Лоскутное королевство: Дуэль гербов,Kingdomino Duel,2019,false,281960,Kingdomino Duel,base,tesera-detail-bgg-id,,matched,
188,1548884,nova-luna,Новолуние,Nova Luna,2019,false,284435,Nova Luna,base,tesera-detail-bgg-id,,matched,
189,1254361,die-quacksalber-von-quedlinburg,Шарлатаны из Кведлинбурга,The Quacks of Quedlinburg | Die Quacksalber von Quedlinburg,2018,false,244521,Quacks,base,tesera-detail-bgg-id,,matched,
190,1435650,the-quacks-of-quedlinburg-the-herb-witches,Шарлатаны из Кведлинбурга: Ведьмы-травницы,Die Quacksalber von Quedlinburg: Die Kräuterhexen | The Quacks of Quedlinburg: The Herb Witches,2019,true,269259,The Quacks of Quedlinburg: The Herb Witches,expansion,tesera-detail-bgg-id,244521,matched,
191,1722976,die-quacksalber-von-quedlinburg-die-alchemisten,Шарлатаны из Кведлинбурга: Алхимики,The Quacks of Quedlinburg: The Alchemists | Die Quacksalber von Quedlinburg: Die Alchemisten,2020,true,316597,The Quacks of Quedlinburg: The Alchemists,expansion,tesera-detail-bgg-id,244521,matched,
192,1110719,architects-of-the-west-kingdom,Архитекторы западного королевства,Architects of the West Kingdom,2018,false,236457,Architects of the West Kingdom,base,tesera-detail-bgg-id,,matched,
193,1499317,architects-of-the-west-kingdom-age-of-artisans,Архитекторы западного королевства: Эпоха мастеров,Architects of the West Kingdom: Age of Artisans,2020,true,285235,Architects of the West Kingdom: Age of Artisans,expansion,tesera-detail-bgg-id,236457,matched,
194,1362870,paladins-of-the-west-kingdom,Паладины Западного Королевства,Paladins of the West Kingdom,2019,false,266810,Paladins of the West Kingdom,base,tesera-detail-bgg-id,,matched,
195,1580231,Viscounts,Виконты западного королевства,Viscounts of the West Kingdom,2020,false,296151,Viscounts of the West Kingdom,base,tesera-detail-bgg-id,,matched,
196,1187036,teotihuacan-city-of-gods,Теотиуакан. Город Богов,Teotihuacan: City of Gods,2018,false,229853,Teotihuacan: City of Gods,base,tesera-detail-bgg-id,,matched,
197,1726863,teotihuacan-expansion-period,Теотиуакан. Эра расширения,Teotihuacan: Expansion Period,2021,true,316777,Teotihuacan: Expansion Period,expansion,tesera-detail-bgg-id,229853,matched,
198,1554826,teotihuacan-shadow-of-xitle,Теотиуакан. Тень Шитле,Teotihuacan: Shadow of Xitle,2020,true,293473,Teotihuacan: Shadow of Xitle,expansion,tesera-detail-bgg-id,229853,matched,
199,1400032,teotihuacan-late-preclassic-period,Теотиуакан. Поздняя предклассическая эра,Teotihuacan: Late Preclassic Period,2019,true,270364,Teotihuacan: Late Preclassic Period,expansion,tesera-detail-bgg-id,229853,matched,
200,77369,seasons,Сезоны,Seasons,2012,false,108745,Seasons,base,tesera-detail-bgg-id,,matched,
201,189061,seasons-enchanted-kingdom,Сезоны. Заколдованное королевство,Seasons: Enchanted Kingdom,2013,true,136233,Seasons: Enchanted Kingdom,expansion,tesera-detail-bgg-id,108745,matched,
202,328615,seasons-path-of-destiny,Сезоны. Дорога судьбы,Seasons: Path of Destiny,2014,true,148166,Seasons: Path of Destiny,expansion,tesera-detail-bgg-id,108745,matched,
203,1441765,gow-cardgame,Бог войны. Карточная игра,God of War: The Card Game,2019,false,278120,God of War: The Card Game,base,tesera-detail-bgg-id,,matched,
204,1352213,wingspan,Крылья,Wingspan,2019,false,266192,Wingspan,base,tesera-detail-bgg-id,,matched,
205,1535523,Wingspan-European-Expansion,Крылья: Птицы Европы,Wingspan: European Expansion,2019,true,290448,Wingspan: European Expansion,expansion,tesera-detail-bgg-id,266192,matched,
206,1600842,wingspan-oceania-expansion,Крылья: Птицы Океании,Wingspan: Oceania expansion,2020,true,300580,Wingspan: Oceania Expansion,expansion,tesera-detail-bgg-id,266192,matched,
207,533697,roll-for-the-galaxy-ambition,Кубарем по Галактике. Амбиции,Roll for the Galaxy: Ambition,2015,true,175754,Roll for the Galaxy: Ambition,expansion,tesera-detail-bgg-id,132531,matched,
208,1790082,last-aurora-project-athena,Погоня за «Авророй»: Проект «Афина»,Last Aurora: Project Athena,2020,true,,,,unresolved,,needs-review,
209,1700184,last-aurora,Погоня за «Авророй»,Last Aurora,2020,false,274450,Last Aurora,base,tesera-detail-bgg-id,,matched,
210,1837833,v-pogone-za-avroroy-nabor-promokart-mutanty,В погоне за «Авророй»: набор промокарт «Мутанты»,В погоне за Авророй: набор промокарт Мутанты,,true,,,,unresolved,,needs-review,
211,1121739,Spirit-Island-Branch-and-Claw,Остров духов. Ветви и когти,Spirit Island: Branch & Claw,2017,true,193065,Spirit Island: Branch & Claw,expansion,tesera-detail-bgg-id,162886,matched,
212,304,le-havre,Гавр,Le Havre,2008,false,35677,Le Havre,base,tesera-detail-bgg-id,,matched,
213,1341975,pax-pamir-second-edition,Pax Pamir. Большая игра,Pax Pamir: Second Edition,2019,false,256960,Pax Pamir: Second Edition,base,tesera-detail-bgg-id,,matched,
214,1549660,king-of-tokyo-dark-edition,Повелитель Токио: Темное Издание,King of Tokyo: Dark Edition,2020,true,293141,King of Tokyo: Dark Edition,base,tesera-detail-bgg-id,,matched,
215,969547,brass-birmingham,Brass: Бирмингем,Brass: Birmingham | Брасс Бирмингем,2018,false,224517,Brass: Birmingham,base,tesera-detail-bgg-id,,matched,
216,1100848,london-second-edition,Лондон. Вторая редакция,London (Second Edition),2017,false,236191,London (Second Edition),base,tesera-detail-bgg-id,,matched,
217,538478,raiders-of-the-north-sea,Завоеватели Северного моря,Raiders of the North Sea | Викинги,2015,false,170042,Raiders of the North Sea,base,tesera-detail-bgg-id,,matched,
218,1778597,warchest-siege,Сундук войны. Осада,War Chest: Siege,2021,true,324656,War Chest: Siege,expansion,tesera-detail-bgg-id,249259,matched,
219,1632204,warchest-nobility,Сундук войны. Дворянство,War Chest: Nobility,2019,true,284444,War Chest: Nobility,expansion,tesera-detail-bgg-id,249259,matched,
220,1265169,warchest,Сундук войны,War Chest,2018,true,249259,War Chest,base,tesera-detail-bgg-id,,matched,
221,1777455,bunker3,Бункер 3.x,Bunker,2020,false,364760,Bunker,base,tesera-detail-bgg-id,,matched,
222,604545,gloomhaven,Мрачная гавань,Gloomhaven,2017,false,174430,Gloomhaven,base,tesera-detail-bgg-id,,matched,
223,480450,blood-rage,Кровь и ярость,Blood Rage,2015,false,170216,Blood Rage,base,tesera-detail-bgg-id,,matched,
224,70309,Bang-Gold-Rush,Бэнг! Золотая лихорадка,Bang! Gold Rush,2012,true,107794,BANG! Gold Rush,expansion,tesera-detail-bgg-id,3955,matched,
225,2496,dominion,Доминион,Dominion | Господство,2008,false,36218,Dominion,base,tesera-detail-bgg-id,,matched,
226,1067166,bronze,Бронза,Bronze,2017,false,230746,Bronze,base,tesera-detail-bgg-id,,matched,
227,1899913,res-arcana-perlae-imperii,Res Arcana: Жемчужная Империя,Res Arcana: Perlae Imperii,2021,true,340375,Res Arcana: Perlae Imperii,expansion,tesera-detail-bgg-id,262712,matched,
228,1528503,res-arcana-lux-et-tenebrae,Res Arcana: Свет и Тьма,Res Arcana: Lux et Tenebrae,2019,true,288168,Res Arcana: Lux et Tenebrae,expansion,tesera-detail-bgg-id,262712,matched,
229,780023,scythe-invaders-from-afar,Серп. Захватчики из далеких земель,Scythe: Invaders from Afar,2016,true,199727,Scythe: Invaders from Afar,expansion,tesera-detail-bgg-id,169786,matched,
230,1613774,Winter-Queen,Зимняя королева,Winter Queen,2020,false,298309,Winter Queen,base,tesera-detail-bgg-id,,matched,
231,303567,kolonizatory-morekhody,Колонизаторы. Мореходы. Расширение для 5-6 игроков,,2013,true,,,,unresolved,,needs-review,
232,1179589,spirit-island-heart-of-the-wildfire-serpent-slumbering-beneath,"Остров духов: Промо-духи ""Сердце дикого огня"" и ""Дремлющий под Островом Змей""",Spirit Island: Heart of the Wildfire & Serpent Slumbering Beneath the Island Promo Spirits,2017,true,232394,Spirit Island: Promo Pack 1,expansion,tesera-detail-bgg-id,162886,matched,
233,1235114,space-base,Космобаза,Space Base,2018,false,242302,Space Base,base,tesera-detail-bgg-id,,matched,
234,1673130,smallworldofwarcraft,Small World of Warcraft,Маленький мир Варкрафта,2020,false,309630,Small World of Warcraft,base,tesera-detail-bgg-id,,matched,
235,1065771,twilight-imperium-fourth-edition,Сумерки империи. Четвёртая редакция,Twilight Imperium 4th Edition | Twilight Imperium Fourth Edition,2017,false,233078,Twilight Imperium: Fourth Edition,base,tesera-detail-bgg-id,,matched,
236,1717322,twilight-imperium-fourth-edition-prophecy-of-kings,Сумерки империи. Четвёртая редакция: Пророчество королей,Twilight Imperium (Fourth Edition): Prophecy of Kings,2020,true,315895,Twilight Imperium: Fourth Edition – Prophecy of Kings,expansion,tesera-detail-bgg-id,233078,matched,
237,1731710,furnace,Индустрия,Furnace,2020,false,318084,Furnace,base,tesera-detail-bgg-id,,matched,
238,715945,bolshaya-brodilka,Большая бродилка,Big Adventure,2019,false,307534,Crazy Adventures,base,tesera-detail-bgg-id,,matched,
239,751634,Dream-Home,Домик,Domek | Dream Home,2016,false,194880,Dream Home,base,tesera-detail-bgg-id,,matched,
240,1436036,Draftosaurus,Драфтозавры,Draftosaurus,2019,false,264055,Draftosaurus,base,tesera-detail-bgg-id,,matched,
241,3452,cyclades,Киклады,Cyclades,2009,false,54998,Cyclades,base,tesera-detail-bgg-id,,matched,
242,370477,cyclades-titans,Киклады. Титаны,Cyclades: Titans,2014,true,155820,Cyclades: Titans,expansion,tesera-detail-bgg-id,54998,matched,
243,36098,cyclades-hades,Киклады. Аид,Cyclades: Hades,2011,true,96778,Cyclades: Hades,expansion,tesera-detail-bgg-id,54998,matched,
244,739793,cyclades-monuments,Киклады. Монументы,Cyclades: Monuments,2016,true,193215,Cyclades: Monuments,expansion,tesera-detail-bgg-id,54998,matched,
245,1295372,barrage,Плотина,Barrage,2019,false,251247,Barrage,base,tesera-detail-bgg-id,,matched,
246,1675145,chai-high-tea,Chai: High Tea,,2020,true,309251,Chai: High Tea,expansion,tesera-detail-bgg-id,253185,matched,
247,1355715,chai,Чай,Chai,2019,false,253185,Chai,base,tesera-detail-bgg-id,,matched,
248,1162496,scythe-the-rise-of-fenris,Серп. Восхождение Фенриса,Scythe: The Rise of Fenris,2018,true,242277,Scythe: The Rise of Fenris,expansion,tesera-detail-bgg-id,169786,matched,
249,464568,patchwork,Пэчворк,Patchwork,2014,false,163412,Patchwork,base,tesera-detail-bgg-id,,matched,
250,614957,spirit-island,Остров духов,Spirit Island,2017,false,162886,Spirit Island,base,tesera-detail-bgg-id,,matched,
251,1217193,terraforming-mars-prelude,Покорение Марса: Пролог,Terraforming Mars: Prelude,2018,true,247030,Terraforming Mars: Prelude,expansion,tesera-detail-bgg-id,167791,matched,
252,914592,terraforming-mars-hellas-elysium,Покорение Марса: Эллада и Элизий,Terraforming Mars: Hellas & Elysium,2017,true,218127,Terraforming Mars: Hellas & Elysium,expansion,tesera-detail-bgg-id,167791,matched,
253,1787717,splendor-marvel,Splendor Marvel,,2020,false,293296,Splendor: Marvel,base,tesera-detail-bgg-id,,matched,
254,1483877,sumerki-venezii,Сумерки Венеции,Times Square | Auf der Reeperbahn nachts um halb zwei,2019,false,22245,Royal Visit,base,tesera-detail-bgg-id,,matched,
255,30316,catan-traders-barbarians-5-6-player-extension,Колонизаторы. Купцы и варвары. Расширение для 5-6 игроков,The Settlers of Catan: Traders & Barbarians - 5-6 Player Extension | Catan: Traders & Barbarians - 5-6 Player Extension,2008,true,34691,Catan: Traders & Barbarians – 5-6 Player Expansion,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
256,505320,Above-and-Below,Выше и ниже,Above and Below,2015,false,172818,Above and Below,base,tesera-detail-bgg-id,,matched,
257,1393734,imperial-settlers-empires-of-the-north,Поселенцы. Северные Империи,Imperial Settlers: Empires of the North,2019,true,270844,Imperial Settlers: Empires of the North,base,tesera-detail-bgg-id,,matched,
258,1534796,Zona,Зона: Тайны Чернобыля,Zona: The Secret of Chernobyl | Zona: Sekret Czarnobyla,2019,false,209671,Zona: The Secret of Chernobyl,base,tesera-detail-bgg-id,,matched,
259,606069,star-realms-colony-wars,Звёздные империи: Колониальные войны,Star Realms: Colony Wars,2015,true,182631,Star Realms: Colony Wars,base,tesera-detail-bgg-id,,matched,
260,700231,51st-State-Master-Set,51-й штат. Полный набор,51st State: Master Set | 51 штат,2016,false,192458,51st State: Master Set,base,tesera-detail-bgg-id,,matched,
261,1332474,Res-Arcana,Res Arcana,Рес Аркана,2019,false,262712,Res Arcana,base,tesera-detail-bgg-id,,matched,
262,1725556,lost-ruins-arnak,Руины острова Арнак,Lost Ruins of Arnak,2020,true,312484,Lost Ruins of Arnak,base,tesera-detail-bgg-id,,matched,
263,1047903,star-realms-frontiers,Звёздные империи: Фронтир,Star Realms: Frontiers,2018,false,230253,Star Realms: Frontiers,base,tesera-detail-bgg-id,,matched,
264,1908795,star-realms-united,Звёздные империи: Альянс,Star Realms: United,2016,true,,,,unresolved,,needs-review,
265,39544,small-world-underground,Маленький мир: Подземный мир,Small World Underground,2011,false,97786,Small World Underground,base,tesera-detail-bgg-id,,matched,
266,333431,King-of-New-York,Повелитель Нью-Йорка,King of New York,2014,false,160499,King of New York,base,tesera-detail-bgg-id,,matched,
267,716078,King-of-New-York-Power-Up,Повелитель Нью-Йорка: Подзарядка!,King of New York: Power Up!,2016,true,193320,King of New York: Power Up!,expansion,tesera-detail-bgg-id,160499,matched,
268,151377,King-of-Tokyo-Power-Up,Повелитель Токио: Подзарядка!,King of Tokyo: Power Up!,2012,true,127067,King of Tokyo: Power Up!,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
269,103323,robinson-crusoe-adventures-cursed-island,Робинзон Крузо: Приключения на таинственном острове. Вторая редакция,Robinson Crusoe: Adventures on the Cursed Island,2016,false,121921,Robinson Crusoe: Adventures on the Cursed Island,base,tesera-detail-bgg-id,,matched,
270,925548,dice-forge,Грани судьбы,Dice Forge,2017,false,194594,Dice Forge,base,tesera-detail-bgg-id,,matched,
271,1200093,this-war-of-mine-this-war-of-mine-tales-from-the-ruined-city,Это моя война. Истории осаждённого города,This War of Mine: Tales from the Ruined City | This War of Mine: Opowieści ze zniszczonego miasta,2018,true,247665,This War of Mine: Tales from the Ruined City,expansion,tesera-detail-bgg-id,188920,matched,
272,649620,this-war-of-mine-the-board-game,Это моя война,This War of Mine: The Board Game | This War of Mine: Gra planszowa,2017,false,188920,This War of Mine: The Board Game,base,tesera-detail-bgg-id,,matched,
273,602585,through-ages-new-story-civilization,Сквозь века: Новая история цивилизации,Through the Ages: A New Story of Civilization,2015,false,182028,Through the Ages: A New Story of Civilization,base,tesera-detail-bgg-id,,matched,
274,1481497,through-ages-new-leaders-and-wonders,Сквозь века: Новая история цивилизации - Новые лидеры и чудеса,Through the Ages: New Leaders and Wonders,2019,true,280833,Through the Ages: New Leaders and Wonders,expansion,tesera-detail-bgg-id,182028,matched,
275,1324726,Cerberus,Цербер,"Cerberus | Cerbero, Cerbere",2018,false,256918,Cerberus,base,tesera-detail-bgg-id,,matched,
276,2726,Dixit-2,Диксит 2: Открытие (2010),Dixit 2,2010,true,55660,Dixit: Quest,expansion,tesera-detail-bgg-id,39856,matched,
277,2706,dixit,Диксит,Dixit,2008,false,39856,Dixit,base,tesera-detail-bgg-id,,matched,
278,1489759,korova-006-yubileynoye-izdaniye,Корова 006. Юбилейное издание,,2019,false,268586,6 nimmt! 25 Jahre,base,tesera-detail-bgg-id,,matched,
279,1606077,The-Isle-of-Cats-Late-Arrivals,Остров Кошек. Долгожданные гости,The Isle of Cats: Late Arrivals | Острів котів: Запізнілі гості,2020,true,287361,The Isle of Cats: Late Arrivals,expansion,tesera-detail-bgg-id,281259,matched,
280,1474207,The-Isle-of-Cats,Остров кошек,The Isle of Cats | Острів котів,2020,false,281259,The Isle of Cats,base,tesera-detail-bgg-id,,matched,
281,563105,7-wonders-duel,7 чудес: Дуэль,7 Wonders Duel,2015,false,173346,7 Wonders Duel,base,tesera-detail-bgg-id,,matched,
282,72611,7-Wonders-Cities,7 Wonders: Cities,7 чудес: Города,2012,true,111661,7 Wonders: Cities,expansion,tesera-detail-bgg-id,68448,matched,
283,25932,7-wonders-leaders,7 Wonders: Leaders,7 чудес: Лидеры,2011,true,92539,7 Wonders: Leaders,expansion,tesera-detail-bgg-id,68448,matched,
284,3624,7-wonders,7 чудес,7 Wonders,2010,false,68448,7 Wonders,base,tesera-detail-bgg-id,,matched,
285,2028,cheesy-gonzola,Сырный замок: Шустрый Гонзола,Cheesy Gonzola,2008,true,35339,Cheesy Gonzola,expansion,tesera-detail-bgg-id,28089,matched,
286,769308,deep-sea-adventure,Предельное погружение,"Deep Sea Adventure | 海底探険, Tiefseeabenteuer",2014,false,169654,Deep Sea Adventure,base,tesera-detail-bgg-id,,matched,
287,1039562,serp-komplekt-promokart-1-18-kart,Серп. Комплект промокарт №1 (18 карт),Scythe: Boomstarter Promo Pack,2017,true,,,,unresolved,,needs-review,
288,1340848,valhalla,Вальхалла,Valhalla,2018,false,237211,Valhalla,base,tesera-detail-bgg-id,,matched,
289,1174870,unstable-unicorns,Неудержимые единорожки,Unstable Unicorns,2017,false,234190,Unstable Unicorns,base,tesera-detail-bgg-id,,matched,
290,694,ticket-to-ride,Ticket to Ride,"Билет на поезд | Zug um Zug, Les Aventuriers du Rail, ¡Aventureros al tren!, Menolippu",2004,false,9209,Ticket to Ride,base,tesera-detail-bgg-id,,matched,
291,430689,Master-of-orion,Master of Orion: Настольная игра,Master of Orion: The Board Game | Master of Orion,2016,false,193322,Master of Orion: The Board Game,base,tesera-detail-bgg-id,,matched,
292,181455,roll-for-the-galaxy,Кубарем по Галактике,Roll for the Galaxy,2014,false,132531,Roll for the Galaxy,base,tesera-detail-bgg-id,,matched,
293,662706,star-realms-deluxe-edition,Звездные империи. Подарочное издание,,2015,false,216123,Звёздные империи. Подарочное издание (Star Realms. Gift Edition),base,tesera-detail-bgg-id,,matched,
294,526664,terraforming-mars,Покорение Марса,Terraforming Mars,2016,false,167791,Terraforming Mars,base,tesera-detail-bgg-id,,matched,
295,471170,orleans,Орлеан,Orléans,2014,true,164928,Orléans,base,tesera-detail-bgg-id,,matched,
296,831506,orleans-trade-intrigue,Орлеан: Торговля и интриги,Orléans: Trade & Intrigue,2016,true,204814,Orléans: Trade & Intrigue,expansion,tesera-detail-bgg-id,164928,matched,
297,478961,scythe,Серп,Scythe,2016,false,169786,Scythe,base,tesera-detail-bgg-id,,matched,
298,1186044,kingdomino-age-of-giants,Лоскутное королевство: Век великанов,Kingdomino: Age of Giants,2018,true,240909,Kingdomino: Age of Giants,expansion,tesera-detail-bgg-id,204583;232043,matched,
299,54636,a-game-of-thrones-the-board-game-second-edition,Игра Престолов. Второе издание,A Game of Thrones: The Board Game (Second Edition) | Игра Престолов,2011,false,103343,A Game of Thrones: The Board Game (Second Edition),base,tesera-detail-bgg-id,,matched,
300,1291500,mother-of-dragons,Игра Престолов: Мать драконов,A Game of Thrones: The Board Game - Mother of Dragons,2018,true,257496,A Game of Thrones: The Board Game (Second Edition) – Mother of Dragons,expansion,tesera-detail-bgg-id,103343,matched,
301,232282,AGoTSE-ADwDE,Игра престолов. Второе издание. Танец с драконами,A Game of Thrones: The Board Game (Second Edition) - A Dance with Dragons Expansion,2012,true,124693,A Game of Thrones: The Board Game (Second Edition) – A Dance with Dragons,expansion,tesera-detail-bgg-id,103343,matched,
302,273074,a-game-of-thrones-the-board-game-second-edition-a-feast-for,Игра престолов. Второе издание. Пир воронов,A Game of Thrones: The Board Game (Second Edition) - A Feast for Crows Expansion,2013,true,140261,A Game of Thrones: The Board Game (Second Edition) – A Feast for Crows,expansion,tesera-detail-bgg-id,103343,matched,
303,1059964,queendomino,Лоскутная империя,Queendomino,2017,false,232043,Queendomino,base,tesera-detail-bgg-id,,matched,
304,854438,Hanamikoji,Путь лепестка,Hanamikoji | Hanamikoji,2017,false,158600,Hanamikoji,base,tesera-detail-bgg-id,,matched,
305,12,catan-cities-knights,Колонизаторы: Города и рыцари. Четвёртое издание,Catan: Cities & Knights,1998,true,926,Catan: Cities & Knights,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
306,24270,the-struggle-for-catan,Колонизаторы. Быстрая карточная игра,The Struggle for Catan | Die Siedler von Catan: Das schnelle Kartenspiel,2011,false,91534,Struggle for Catan,base,tesera-detail-bgg-id,,matched,
307,278477,Eight-Minute-Empire-Legends,Восьмиминутная империя: Легенды,Eight-Minute Empire: Legends,2013,true,142326,Eight-Minute Empire: Legends,base,tesera-detail-bgg-id,,matched,
308,178557,Eight-Minute-Empire,Восьмиминутная империя,Eight-Minute Empire,2013,false,131366,Eight-Minute Empire,base,tesera-detail-bgg-id,,matched,
309,1167261,everdell,Эверделл,Everdell,2018,true,199792,Everdell,base,tesera-detail-bgg-id,,matched,
310,1396932,Cartographers-A-Roll-Player-Tale,Картографы,Cartographers: A Roll Player Tale,2019,false,263918,Cartographers,base,tesera-detail-bgg-id,,matched,
311,4961,small-world-tales-and-legends,Small World: Tales and Legends,,2010,true,71818,Small World: Tales and Legends,expansion,tesera-detail-bgg-id,40692;97786,matched,
312,2386,small-world,Маленький мир,Small World,2009,true,40692,Small World,base,tesera-detail-bgg-id,,matched,
313,530353,Red7,Red7,Красная семёрка | Red 7,2014,false,161417,Red7,base,tesera-detail-bgg-id,,matched,
314,875615,ostrov-sokrovishh,Остров сокровищ,,2016,false,,,,unresolved,,needs-review,
315,1307776,Gold-Fever,Жадюги,Gold Fever,2017,false,234120,Gold Fever,base,tesera-detail-bgg-id,,matched,
316,829265,Outfoxed,Коварный Лис. Дело о пропавшем пироге,Outfoxed! | Verfuxt,2015,false,172931,Outfoxed!,base,tesera-detail-bgg-id,,matched,
317,2027,the-castle-of-appenzell,Сырный замок,"Burg Appenzell | Chateau Roquefort, The Castle of Appenzell",2007,false,28089,Château Roquefort,base,tesera-detail-bgg-id,,matched,
318,1662400,catan-25th-anniversary-edition,Колонизаторы. Юбилейное издание,Catan: 25th Anniversary Edition,2020,false,305668,Catan: 25th Anniversary Edition,base,tesera-detail-bgg-id,,matched,
319,30290,catan-5-6-player-extension,Колонизаторы. Расширение для 5-6 игроков,"The Settlers of Catan: 5-6 Player Extension | Catan: 5-6 Player Extension, Die Siedler von Catan Ergänzungs-Set für 5 und 6 Spieler",1996,true,2807,Catan: 5-6 Player Expansion,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
320,810155,Citadels-2016,Цитадели Делюкс,Citadels Deluxe,2016,false,205398,Citadels,base,tesera-detail-bgg-id,,matched,
321,5544,ticket-ride-europa-1912,Билет на поезд: Европа - 1912,Ticket to Ride: Europa 1912,2009,true,53383,Ticket to Ride: Europa 1912,expansion,tesera-detail-bgg-id,9209;14996,matched,
322,1700,ticket-ride-europe,Билет на поезд: Европа,Ticket to Ride: Europe,2005,true,14996,Ticket to Ride: Europe,base,tesera-detail-bgg-id,,matched,
323,17075,koronacija,Коронация,,2010,false,94683,Coronation,base,tesera-detail-bgg-id,,matched,
324,431988,bitva-polov,Битва полов,,2014,false,,,,unresolved,,needs-review,
325,868839,evolution-plantarum,Эволюция. Растения,Evolution. Plantarum,2016,true,,,,unresolved,,needs-review,
326,4070,evolutsiya,Эволюция,Evolution: The origin of species,2010,true,71021,Evolution: The Origin of Species,base,tesera-detail-bgg-id,,matched,
327,596758,Gwent,Гвинт,Gwent,2015,false,178147,Gwent: Monsters and Scoia'tael,base,tesera-detail-bgg-id,,matched,
328,791129,codnames-pictures,Кодовые имена. Картинки,Codenames: Pictures,2016,false,198773,Codenames: Pictures,base,tesera-detail-bgg-id,,matched,
329,1709,taboo,Табу,Taboo | Tabu,1989,false,1111,Taboo,base,tesera-detail-bgg-id,,matched,
330,4966,bang,Бэнг!,"Bang! | Бах!, A vadnyugat játéka!, Wanted!, Wanted: Dead or Alive",2002,false,3955,BANG!,base,tesera-detail-bgg-id,,matched,
331,759293,zombies-in-the-house,Зомби в доме,Zombergeek | Zombies in the house,2016,false,209551,Zombergeek,base,tesera-detail-bgg-id,,matched,
332,63678,nefarious,Нефариус,Nefarious,2011,false,108044,Nefarious,base,tesera-detail-bgg-id,,matched,
333,238,race-for-the-galaxy,Борьба за галактику,Race for the Galaxy,2007,false,28143,Race for the Galaxy,base,tesera-detail-bgg-id,,matched,
334,2957,saboteur,Гномы-вредители,Saboteur,2004,true,9220,Saboteur,base,tesera-detail-bgg-id,,matched,
335,295051,World-of-Tanks-Rush,World of Tanks: Rush,,2013,true,147030,World of Tanks: Rush,base,tesera-detail-bgg-id,,matched,
336,526502,rozhdeniye-normandii,Рождение Нормандии,,,false,,,,unresolved,,needs-review,
337,2626,AliasParty,Alias Party,Алиас для вечеринок,,true,43530,Party Alias,base,tesera-detail-bgg-id,,matched,
338,529,activity,Activity,"Активити | Le temps presse, Word In Time, Word Trio",1993,false,27451,Activity 2,base,tesera-detail-bgg-id,,matched,
339,606802,monopoly-card,Монополия с банковскими карточками (обновленная),,,false,,,,unresolved,,needs-review,
340,240558,piratskaya-monopoliya,Пиратская монополия,,,false,,,,unresolved,,needs-review,
341,3968,labirint-zmeya,Лабиринт Змея,,2010,false,,,,unresolved,,needs-review,
